Ticker,Sector,Industry,Trailing_PE,Forward_PE,Price_To_Book,EV_to_EBITDA,Beta_raw,Market_Cap
GOOGL,Communication Services,Internet Content & Information,31.426064,25.18987,9.898116,26.935,1.128,4113342922752
MO,Consumer Defensive,Tobacco,16.027914,11.358047,-31.565489,8.345,0.447,110403796992
AMZN,Consumer Cyclical,Internet Retail,35.74652,27.055489,6.700256,19.191,1.383,2760186265600
AMP,Financial Services,Asset Management,12.79909,10.034152,6.4674115,,1.266,43117076480
AIG,Financial Services,Insurance - Diversified,14.042357,8.634277,0.9975013,4.862,0.601,40912674816
AME,Industrials,Specialty Industrial Machinery,36.741028,27.013323,5.0749903,23.271,1.041,53947195392
APH,Technology,Electronic Components,45.154655,28.94791,13.7508,26.799,1.26,184863342592
AMGN,Healthcare,Drug Manufacturers - General,24.488396,14.910601,21.670609,14.009,0.465,187716829184
ADI,Technology,Semiconductors,73.88349,30.629436,5.8182697,34.963,1.053,196582735872
AON,Financial Services,Insurance Brokers,19.200235,15.285861,7.499714,14.774,0.825,70279536640
AAPL,Technology,Consumer Electronics,34.713562,29.222355,45.663555,26.383,1.109,4025615122432
AMAT,Technology,Semiconductor Equipment & Materials,42.11168,29.20987,15.019551,35.874,1.637,326181584896
APP,Communication Services,Advertising Agencies,45.106358,22.30843,71.912834,38.438,2.502,153046646784
ADM,Consumer Defensive,Farm Products,31.363274,14.381262,1.4767758,16.825,0.636,33703792640
ACGL,Financial Services,Insurance - Diversified,8.430172,9.709152,1.4959233,6.215,0.384,34839920640
AIZ,Financial Services,Insurance - Property & Casualty,13.574719,10.395154,1.9489485,7.76,0.56,11442048000
ANET,Technology,Computer Hardware,63.47273,40.639427,17.729813,54.133,1.475,219788017664
AJG,Financial Services,Insurance Brokers,38.35652,14.870558,2.4304907,19.86,0.683,56703406080
ADSK,Technology,Software - Application,44.3046,16.42202,16.10179,27.479,1.433,49029242880
ADP,Technology,Software - Application,18.877522,16.426899,12.387481,13.454,0.856,79480242176
AZO,Consumer Cyclical,Auto Parts,25.207796,20.60385,-20.454153,17.104,0.406,59672158208
AXON,Industrials,Aerospace & Defense,252.9027,35.654575,9.321353,607.763,1.605,30361620480
AVY,Consumer Cyclical,Packaging & Containers,19.26735,15.021203,5.80696,11.661,1.003,13026668544
ATO,Utilities,Utilities - Regulated Gas,24.281984,21.014338,2.1543736,16.498,0.688,30771644416
BKR,Energy,Oil & Gas Equipment & Services,24.726925,22.634615,3.3684375,13.838,0.898,63760080896
BBY,Consumer Cyclical,Specialty Retail,12.291667,8.824045,4.3703704,5.968,1.374,12980700160
TECH,Healthcare,Biotechnology,100.43397,24.623114,4.1260366,28.246,1.486,8328008704
BIIB,Healthcare,Drug Manufacturers - General,21.546698,11.821378,1.5211675,8.529,0.162,27763777536
BLK,Financial Services,Asset Management,26.708101,17.49774,2.9449482,16.744,1.493,165088673792
XYZ,Technology,Software - Infrastructure,33.51905,14.73988,1.9086742,21.818,2.613,42773540864
BX,Financial Services,Asset Management,31.742895,16.066025,11.1031275,,1.735,150148775936
BA,Industrials,Aerospace & Defense,91.9246,52.975937,33.36454,-67.052,,182520922112
BKNG,Consumer Cyclical,Travel Services,26.815712,14.255177,-25.3745,14.27,1.198,140566315008
BSX,Healthcare,Medical Devices,27.364016,17.10788,4.0022035,19.625,0.782,97195851776
BR,Technology,Information Technology Services,17.167036,15.003234,6.2901263,12.5,1.015,18118232064
AVGO,Technology,Semiconductors,83.39726,23.521425,25.2689,55.161,1.253,2020541202432
BF-B,Consumer Defensive,Beverages - Wineries & Distilleries,16.581396,16.781012,3.2048545,12.778,0.421,13082227712
CHRW,Industrials,Integrated Freight & Logistics,38.120083,25.719177,11.814682,26.132,0.935,21840467968
CDNS,Technology,Software - Application,79.08765,34.14547,15.9031315,47.128,1.041,88433664000
CAH,Healthcare,Medical Distribution,29.005028,17.427444,-16.520048,14.027,0.65,47504420864
CARR,Industrials,Building Products & Equipment,36.680473,19.537333,3.7549214,18.311,1.319,51813965824
CVNA,Consumer Cyclical,Auto & Truck Dealerships,47.66312,37.992966,16.667217,29.196,3.614,88994168832
CBOE,Financial Services,Financial Data & Stock Exchanges,28.70605,22.547964,6.086026,18.678,0.369,31300130816
CASY,Consumer Cyclical,Specialty Retail,45.27549,39.681946,7.5886536,22.575,0.605,29301780480
CAT,Industrials,Farm & Heavy Construction Machinery,44.385674,29.98427,18.261126,29.445,1.519,391544471552
CBRE,Real Estate,Real Estate Services,39.545456,17.5381,4.9927855,24.176,1.348,44937891840
COR,Healthcare,Medical Distribution,37.13642,15.769978,31.495922,13.769,0.718,60105121792
CF,Basic Materials,Agricultural Inputs,13.669643,13.423393,3.8873901,7.225,0.516,18821357568
